img,left_15,left_30,left_45,left_60,left_75,right_15,right_30,right_45,right_60,right_75,speed,label,steer
./img_data/img_A03_sam_0.jpg,134,115,223,129,77,130,112,190,127,63,0,2,0
./img_data/img_A03_sam_10.jpg,134,115,223,129,77,130,112,190,127,63,0,0,-951
./img_data/img_A03_sam_20.jpg,256,115,223,129,77,130,112,190,127,63,0,0,-1518
./img_data/img_A03_sam_30.jpg,256,115,198,129,77,131,112,94,127,63,1,0,-1945
./img_data/img_A03_sam_40.jpg,135,279,198,129,77,131,112,94,127,63,1,0,-2727
./img_data/img_A03_sam_50.jpg,259,116,199,129,77,132,113,190,127,63,2,0,-3245
./img_data/img_A03_sam_60.jpg,136,116,199,129,77,132,113,193,127,63,2,0,-3767
./img_data/img_A03_sam_70.jpg,138,117,195,129,68,134,114,190,127,63,3,0,-4289
./img_data/img_A03_sam_80.jpg,139,118,195,129,68,135,115,96,127,63,3,0,-5145
./img_data/img_A03_sam_90.jpg,140,119,202,129,77,136,116,191,150,63,4,0,-5498
./img_data/img_A03_sam_100.jpg,141,120,203,129,77,137,117,191,150,63,5,0,-5791
./img_data/img_A03_sam_110.jpg,269,120,203,129,77,138,117,191,150,63,5,0,-6027
./img_data/img_A03_sam_120.jpg,271,121,204,129,77,139,118,98,150,63,6,0,-6189
./img_data/img_A03_sam_130.jpg,146,123,206,129,68,142,120,200,150,63,6,0,-6189
./img_data/img_A03_sam_140.jpg,147,124,207,191,77,143,121,100,149,91,7,0,-6420
./img_data/img_A03_sam_150.jpg,281,124,208,178,77,144,122,195,150,91,7,0,-6420
./img_data/img_A03_sam_160.jpg,281,124,208,166,77,144,122,101,150,87,8,0,-6420
./img_data/img_A03_sam_170.jpg,281,124,208,178,77,145,122,101,128,87,9,0,-6420
./img_data/img_A03_sam_180.jpg,281,124,209,152,68,145,122,101,128,74,9,0,-6420
./img_data/img_A03_sam_190.jpg,147,124,209,152,68,145,294,101,128,73,10,0,-6420
./img_data/img_A03_sam_200.jpg,147,10000,210,152,68,145,123,195,128,73,10,0,-6420
./img_data/img_A03_sam_210.jpg,284,298,196,152,68,145,123,195,128,73,11,0,-6420
./img_data/img_A03_sam_220.jpg,287,262,196,152,77,145,123,195,128,73,11,0,-6420
./img_data/img_A03_sam_230.jpg,295,123,196,129,77,145,123,192,128,73,12,0,-6420
./img_data/img_A03_sam_240.jpg,298,185,294,129,77,146,185,197,128,73,13,0,-6420
./img_data/img_A03_sam_250.jpg,146,263,196,129,77,146,186,197,128,73,13,0,-6420
./img_data/img_A03_sam_260.jpg,146,188,294,129,77,146,188,197,128,73,14,0,-6420
./img_data/img_A03_sam_270.jpg,146,188,294,129,77,146,187,197,128,73,14,0,-6420
./img_data/img_A03_sam_280.jpg,146,123,10000,129,77,146,123,197,128,73,15,0,-6420
./img_data/img_A03_sam_290.jpg,145,123,10000,129,77,146,283,197,128,74,15,0,-6420
./img_data/img_A03_sam_300.jpg,145,301,10000,129,77,147,123,197,128,74,16,0,-6420
./img_data/img_A03_sam_310.jpg,145,182,244,129,77,147,183,197,128,74,17,0,-6420
./img_data/img_A03_sam_320.jpg,145,180,245,129,75,147,186,197,128,74,17,0,-6420
./img_data/img_A03_sam_330.jpg,144,187,245,129,75,147,124,197,128,74,18,0,-6420
./img_data/img_A03_sam_340.jpg,296,301,246,129,75,320,124,198,128,75,18,0,-6420
./img_data/img_A03_sam_350.jpg,302,301,246,129,64,320,292,194,128,75,19,0,-6420
./img_data/img_A03_sam_360.jpg,308,301,246,129,64,147,292,194,128,75,19,0,-6176
./img_data/img_A03_sam_370.jpg,10000,297,247,129,64,148,292,194,128,76,20,0,-6176
./img_data/img_A03_sam_380.jpg,143,296,247,129,75,148,292,193,132,76,21,0,-6176
./img_data/img_A03_sam_390.jpg,143,10000,259,129,74,148,296,163,94,77,21,0,-5929
./img_data/img_A03_sam_400.jpg,10000,318,247,129,74,149,297,194,150,78,22,0,-5929
./img_data/img_A03_sam_410.jpg,239,318,247,129,74,149,301,194,150,78,22,0,-5929
./img_data/img_A03_sam_420.jpg,238,299,246,129,74,242,300,192,150,62,23,0,-5929
./img_data/img_A03_sam_430.jpg,240,298,245,129,74,240,293,192,155,62,23,0,-5929
./img_data/img_A03_sam_440.jpg,242,308,220,128,74,240,295,196,132,62,24,0,-5929
./img_data/img_A03_sam_450.jpg,233,300,220,92,73,238,272,193,132,62,24,0,-5929
./img_data/img_A03_sam_460.jpg,230,308,220,128,64,320,295,191,129,62,25,0,-5929
./img_data/img_A03_sam_470.jpg,10000,316,220,128,64,320,318,157,132,62,26,0,-5929
./img_data/img_A03_sam_480.jpg,313,315,221,128,64,320,320,156,129,86,26,0,-5929
./img_data/img_A03_sam_490.jpg,10000,315,247,128,73,151,320,155,129,95,27,0,-5929
./img_data/img_A03_sam_500.jpg,10000,10000,244,128,73,320,292,154,127,88,27,0,-5929
./img_data/img_A03_sam_510.jpg,10000,315,247,129,68,320,292,153,127,88,28,0,-5929
